isolate_number,isolate_id,species,run,rep,dose,a,b,fungicide,length_mm,control_mean,relative_growth
18,17PR011G.1,Pythium aphanidermatum,2,1,10,11.33,11.21,Mefenoxam,7.27,41.47,17.530745116952012
18,17PR011G.1,Pythium aphanidermatum,2,2,10,11.61,11.04,Mefenoxam,7.324999999999999,41.47,17.66337111164697
18,17PR011G.1,Pythium aphanidermatum,2,3,10,8.81,11.14,Mefenoxam,5.975000000000001,41.47,14.408005787316135
19,17PR011J.1,Pythium aphanidermatum,1,1,0,38.91,38.08,Mefenoxam,34.495,34.346666666666664,100.43187111801242
19,17PR011J.1,Pythium aphanidermatum,1,2,0,38.1,39.12,Mefenoxam,34.61,34.346666666666664,100.76669254658385
19,17PR011J.1,Pythium aphanidermatum,1,3,0,37.09,38.78,Mefenoxam,33.935,34.346666666666664,98.80143633540374
19,17PR011J.1,Pythium aphanidermatum,1,1,0.01,39.37,37.39,Mefenoxam,34.379999999999995,34.346666666666664,100.097049689441
19,17PR011J.1,Pythium aphanidermatum,1,2,0.01,38.08,36.95,Mefenoxam,33.515,34.346666666666664,97.57861024844722
19,17PR011J.1,Pythium aphanidermatum,1,3,0.01,38.88,37.26,Mefenoxam,34.07,34.346666666666664,99.19448757763976
19,17PR011J.1,Pythium aphanidermatum,1,1,0.1,24.95,22.93,Mefenoxam,19.939999999999998,34.346666666666664,58.05512422360248
19,17PR011J.1,Pythium aphanidermatum,1,2,0.1,22.21,23.32,Mefenoxam,18.765,34.346666666666664,54.634122670807464
19,17PR011J.1,Pythium aphanidermatum,1,3,0.1,24.11,24.44,Mefenoxam,20.275,34.346666666666664,59.03047360248447
19,17PR011J.1,Pythium aphanidermatum,1,1,0.5,13.15,14.54,Mefenoxam,9.844999999999999,34.346666666666664,28.663625776397517
19,17PR011J.1,Pythium aphanidermatum,1,2,0.5,17.07,16.34,Mefenoxam,12.704999999999998,34.346666666666664,36.99048913043478
19,17PR011J.1,Pythium aphanidermatum,1,3,0.5,26.93,14.62,Mefenoxam,16.775,34.346666666666664,48.84025621118012
19,17PR011J.1,Pythium aphanidermatum,1,1,1,6.15,6.17,Mefenoxam,2.16,34.346666666666664,6.288819875776398
19,17PR011J.1,Pythium aphanidermatum,1,3,1,5.27,5.41,Mefenoxam,1.3399999999999999,34.346666666666664,3.9013975155279503
19,17PR011J.1,Pythium aphanidermatum,1,1,10,0,0,Mefenoxam,0,34.346666666666664,0
19,17PR011J.1,Pythium aphanidermatum,1,2,10,0,0,Mefenoxam,0,34.346666666666664,0
19,17PR011J.1,Pythium aphanidermatum,1,3,10,0,0,Mefenoxam,0,34.346666666666664,0
19,17PR011J.1,Pythium aphanidermatum,2,1,0,41.77,40.48,Mefenoxam,37.125,37.025,100.27008777852802
19,17PR011J.1,Pythium aphanidermatum,2,2,0,40.6,40.62,Mefenoxam,36.61,37.025,98.87913571910872
19,17PR011J.1,Pythium aphanidermatum,2,3,0,42.16,40.52,Mefenoxam,37.34,37.025,100.85077650236327
19,17PR011J.1,Pythium aphanidermatum,2,1,0.01,38.72,37.33,Mefenoxam,34.025,37.025,91.89736664415935
19,17PR011J.1,Pythium aphanidermatum,2,2,0.01,38.9,36.57,Mefenoxam,33.735,37.025,91.1141120864281
19,17PR011J.1,Pythium aphanidermatum,2,3,0.01,41.46,39.98,Mefenoxam,36.72,37.025,99.17623227548954
19,17PR011J.1,Pythium aphanidermatum,2,1,0.1,40.28,40.23,Mefenoxam,36.254999999999995,37.025,97.92032410533422
19,17PR011J.1,Pythium aphanidermatum,2,2,0.1,36.28,37.44,Mefenoxam,32.86,37.025,88.75084402430791
19,17PR011J.1,Pythium aphanidermatum,2,3,0.1,36.32,34.53,Mefenoxam,31.424999999999997,37.025,84.87508440243079
19,17PR011J.1,Pythium aphanidermatum,2,1,0.5,23.05,24.02,Mefenoxam,19.535,37.025,52.76164753544902
19,17PR011J.1,Pythium aphanidermatum,2,2,0.5,18.19,16.83,Mefenoxam,13.509999999999998,37.025,36.48885887913572
19,17PR011J.1,Pythium aphanidermatum,2,3,0.5,17.78,18.08,Mefenoxam,13.93,37.025,37.62322754895341
19,17PR011J.1,Pythium aphanidermatum,2,1,1,10.04,13.03,Mefenoxam,7.535,37.025,20.351114112086428
19,17PR011J.1,Pythium aphanidermatum,2,2,1,12.48,12.94,Mefenoxam,8.71,37.025,23.524645509790684
19,17PR011J.1,Pythium aphanidermatum,2,3,1,12.67,12.61,Mefenoxam,8.64,37.025,23.33558406482107
19,17PR011J.1,Pythium aphanidermatum,2,1,10,5.79,4.88,Mefenoxam,1.335,37.025,3.6056718433490884
19,17PR011J.1,Pythium aphanidermatum,2,2,10,5.45,6.03,Mefenoxam,1.7400000000000002,37.025,4.699527346387577
19,17PR011J.1,Pythium aphanidermatum,2,3,10,4.19,4.21,Mefenoxam,0.20000000000000018,37.025,0.5401755570560437
20,16PR008B.1,Pythium torulosum,1,1,0,36.44,35.2,Mefenoxam,31.82,31.40833333333333,101.31069249137703
20,16PR008B.1,Pythium torulosum,1,2,0,33.22,35.55,Mefenoxam,30.384999999999998,31.40833333333333,96.74184133722473
20,16PR008B.1,Pythium torulosum,1,3,0,34.88,37.16,Mefenoxam,32.019999999999996,31.40833333333333,101.94746617139825
20,16PR008B.1,Pythium torulosum,1,1,0.01,35.16,34.25,Mefenoxam,30.705,31.40833333333333,97.76067922525868
20,16PR008B.1,Pythium torulosum,1,2,0.01,34.48,33.36,Mefenoxam,29.92,31.40833333333333,95.26134253117539
20,16PR008B.1,Pythium torulosum,1,3,0.01,34.88,32.22,Mefenoxam,29.549999999999997,31.40833333333333,94.0833112231361
20,16PR008B.1,Pythium torulosum,1,1,0.1,33.06,33.02,Mefenoxam,29.040000000000006,31.40833333333333,92.45953833908202
20,16PR008B.1,Pythium torulosum,1,2,0.1,33.33,33.05,Mefenoxam,29.189999999999998,31.40833333333333,92.9371185990979
20,16PR008B.1,Pythium torulosum,1,3,0.1,32.78,32.79,Mefenoxam,28.784999999999997,31.40833333333333,91.64765189705491
20,16PR008B.1,Pythium torulosum,1,1,0.5,33.22,33.68,Mefenoxam,29.450000000000003,31.40833333333333,93.76492438312552
20,16PR008B.1,Pythium torulosum,1,2,0.5,28.88,30.99,Mefenoxam,25.935,31.40833333333333,82.57362695675245
20,16PR008B.1,Pythium torulosum,1,3,0.5,29.91,29.7,Mefenoxam,25.805,31.40833333333333,82.15972406473865
20,16PR008B.1,Pythium torulosum,1,1,1,24.04,24.1,Mefenoxam,20.07,31.40833333333333,63.90023879013002
20,16PR008B.1,Pythium torulosum,1,2,1,21.34,23.99,Mefenoxam,18.665,31.40833333333333,59.426903687980904
20,16PR008B.1,Pythium torulosum,1,3,1,21.9,20.95,Mefenoxam,17.424999999999997,31.40833333333333,55.47890687184929
20,16PR008B.1,Pythium torulosum,1,1,10,15.37,15.05,Mefenoxam,11.21,31.40833333333333,35.69116476518971
20,16PR008B.1,Pythium torulosum,1,2,10,16.54,17.88,Mefenoxam,13.21,31.40833333333333,42.05890156540197
20,16PR008B.1,Pythium torulosum,1,3,10,16.51,16.81,Mefenoxam,12.66,31.40833333333333,40.3077739453436
20,16PR008B.1,Pythium torulosum,2,1,0,36.5,39.64,Mefenoxam,34.07,32.42666666666667,105.06784539473684
20,16PR008B.1,Pythium torulosum,2,2,0,36.78,35.2,Mefenoxam,31.990000000000002,32.42666666666667,98.65337171052632
20,16PR008B.1,Pythium torulosum,2,3,0,35.22,35.22,Mefenoxam,31.22,32.42666666666667,96.27878289473682
20,16PR008B.1,Pythium torulosum,2,1,0.01,37.77,37.69,Mefenoxam,33.730000000000004,32.42666666666667,104.01932565789474
20,16PR008B.1,Pythium torulosum,2,2,0.01,34.1,34.1,Mefenoxam,30.1,32.42666666666667,92.82483552631578
20,16PR008B.1,Pythium torulosum,2,3,0.01,31.78,33.5,Mefenoxam,28.64,32.42666666666667,88.32236842105262
20,16PR008B.1,Pythium torulosum,2,1,0.1,31.86,34.02,Mefenoxam,28.939999999999998,32.42666666666667,89.24753289473682
20,16PR008B.1,Pythium torulosum,2,2,0.1,31.97,30.92,Mefenoxam,27.445,32.42666666666667,84.63712993421052
20,16PR008B.1,Pythium torulosum,2,3,0.1,30.39,30.18,Mefenoxam,26.285,32.42666666666667,81.05982730263158
20,16PR008B.1,Pythium torulosum,2,1,0.5,29.39,29.02,Mefenoxam,25.205,32.42666666666667,77.72923519736841
20,16PR008B.1,Pythium torulosum,2,2,0.5,30.6,29.83,Mefenoxam,26.215,32.42666666666667,80.84395559210526
20,16PR008B.1,Pythium torulosum,2,3,0.5,26.07,29.53,Mefenoxam,23.8,32.42666666666667,73.39638157894737
20,16PR008B.1,Pythium torulosum,2,1,1,19.64,19.6,Mefenoxam,15.620000000000001,32.42666666666667,48.17023026315789
20,16PR008B.1,Pythium torulosum,2,2,1,19.47,19.14,Mefenoxam,15.305,32.42666666666667,47.198807565789465
20,16PR008B.1,Pythium torulosum,2,3,1,16.22,16.09,Mefenoxam,12.155000000000001,32.42666666666667,37.48458059210527
20,16PR008B.1,Pythium torulosum,2,1,10,13.42,13.44,Mefenoxam,9.43,32.42666666666667,29.081003289473685
20,16PR008B.1,Pythium torulosum,2,2,10,14.59,14.08,Mefenoxam,10.335,32.42666666666667,31.87191611842105
20,16PR008B.1,Pythium torulosum,2,3,10,12.59,12.54,Mefenoxam,8.565,32.42666666666667,26.41344572368421
21,17PR008H.2,Pythium torulosum,1,1,0,40.24,39.52,Mefenoxam,35.88,38.13,94.0991345397325
21,17PR008H.2,Pythium torulosum,1,2,0,43.32,43.28,Mefenoxam,39.3,38.13,103.06845003933908
21,17PR008H.2,Pythium torulosum,1,3,0,43.63,42.79,Mefenoxam,39.21,38.13,102.8324154209284
21,17PR008H.2,Pythium torulosum,1,1,0.01,40.91,41.26,Mefenoxam,37.084999999999994,38.13,97.25937581956462
21,17PR008H.2,Pythium torulosum,1,2,0.01,43.26,43.98,Mefenoxam,39.62,38.13,103.90768423813267
21,17PR008H.2,Pythium torulosum,1,3,0.01,42.91,44.9,Mefenoxam,39.905,38.13,104.65512719643324
21,17PR008H.2,Pythium torulosum,1,1,0.1,34.55,32.44,Mefenoxam,29.494999999999997,38.13,77.35378966692892
21,17PR008H.2,Pythium torulosum,1,2,0.1,39.28,39.27,Mefenoxam,35.275000000000006,38.13,92.51245738263835
21,17PR008H.2,Pythium torulosum,1,3,0.1,34.77,34.44,Mefenoxam,30.605000000000004,38.13,80.26488329399425
21,17PR008H.2,Pythium torulosum,1,1,0.5,29.55,29.54,Mefenoxam,25.545,38.13,66.99449252557042
21,17PR008H.2,Pythium torulosum,1,2,0.5,21.74,20.48,Mefenoxam,17.11,38.13,44.87280356674534
21,17PR008H.2,Pythium torulosum,1,3,0.5,21.36,21.37,Mefenoxam,17.365000000000002,38.13,45.541568318909
21,17PR008H.2,Pythium torulosum,1,1,1,16.69,14.32,Mefenoxam,11.505,38.13,30.173092053501183
21,17PR008H.2,Pythium torulosum,1,2,1,17.47,17.89,Mefenoxam,13.68,38.13,35.877261998426434
21,17PR008H.2,Pythium torulosum,1,3,1,12.97,11.36,Mefenoxam,8.165,38.13,21.413585103592965
21,17PR008H.2,Pythium torulosum,1,1,10,7.12,7.11,Mefenoxam,3.115,38.13,8.169420403881459
21,17PR008H.2,Pythium torulosum,1,2,10,6.6,6.03,Mefenoxam,2.3149999999999995,38.13,6.071334906897454
21,17PR008H.2,Pythium torulosum,1,3,10,9.32,9.22,Mefenoxam,5.27,38.13,13.821138211382111
21,17PR008H.2,Pythium torulosum,2,1,0,35.42,34.88,Mefenoxam,31.150000000000006,33.94833333333334,91.75708184005106
