isolate_number,isolate_id,species,run,rep,dose,a,b,fungicide
18,17PR011G.1,Pythium aphanidermatum,2,1,10,0,0,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,2,2,10,0,0,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,2,3,37.83,37.81,0,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,1,1,0,46.22,46.23,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,1,2,0,41.25,41.2,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,1,3,0,42.2,42.18,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,1,1,0.01,27,27.02,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,1,2,0.01,28.33,29.48,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,1,3,0.01,28.25,28.88,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,1,1,0.1,15.884,16.75,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,1,2,0.1,14.96,16.52,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,1,3,0.1,16.7,16.8,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,1,1,0.5,4.7,5.36,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,1,2,0.5,5.14,5.54,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,1,3,0.5,5.37,5.4,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,1,1,1,4.2,4.18,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,1,2,1,4.7,4.51,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,1,3,1,0,0,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,1,1,10,0,0,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,1,2,10,0,0,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,1,3,10,0,0,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,2,1,0,38.96,40.29,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,2,2,0,39.85,39.84,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,2,3,0,37.99,36.59,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,2,1,0.01,28.95,28.93,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,2,2,0.01,29.45,29.47,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,2,3,0.01,27.72,26.57,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,2,1,0.1,17.46,17.5,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,2,2,0.1,20.38,17.84,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,2,3,0.1,16.93,16.97,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,2,1,0.5,9.69,5.53,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,2,2,0.5,7.88,6.01,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,2,3,0.5,5.07,4.79,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,2,1,1,0,0,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,2,2,1,4.17,3.96,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,2,3,1,4.44,4,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,2,1,10,0,0,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,2,2,10,0,0,Azoxystrobin
